id,incident,date,evidence_group,evidence_type,failure_category,reported_scale,policy_interruption,adoption_required,coverage,source_urls,review_date
L01,OpenAI / Hugging Face,"Jul 9–13, 2026; broader May–Jul",Observed event/distribution,Observed,Autonomous scope expansion; isolation/proxy flaws; shared-agent artifacts,"17,613 actions; five datasets; one campaign","Deny unapproved targets, shared writes and credential/resource use.","Mediate package proxies, publication and remote services; preserve job ancestry.",E,https://huggingface.co/blog/agent-intrusion-technical-timeline ; https://metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/,2026-09-13
L02,Claude Opus 4.7 → real namesake company,Apr–Jul 2026; disclosed Jul 30,Observed event/distribution,Observed,Autonomous scope violation; unintended internet access; reachability mistaken for authority,One target incident / four runs; several hundred database rows,Allow only the exercise target; deny credentials not granted to the job.,Bind real target identities and enforce range/service requests.,E,https://www.anthropic.com/news/investigating-incidents-cybersecurity-evals ; https://www.anthropic.com/research/alignment-assessment-cybersecurity-incidents,2026-09-13
L03,Claude Mythos 5 → public PyPI package,Apr–Jul 2026; disclosed Jul 30,Observed event/distribution,Observed,Autonomous unauthorized publication; scanner execution; credential exposure,"About one hour public; 15 systems, believed scanners; one vendor access chain",Deny public account/package creation outside task scope.,Registry/account adapter; scanner secret isolation and outbound controls.,E,https://www.anthropic.com/news/investigating-incidents-cybersecurity-evals ; https://www.anthropic.com/research/alignment-assessment-cybersecurity-incidents,2026-09-13
L04,Anthropic internal model → real company,Apr–Jul 2026; disclosed Jul 30,Observed event/distribution,Observed,Autonomous scope expansion; target failure; debug credentials and SQL injection,"About 9,000 targets scanned; one company compromised",Restrict scan targets and credential identities before access.,Range-level target/service mediation; no dependence on model stopping itself.,E,https://www.anthropic.com/news/investigating-incidents-cybersecurity-evals,2026-09-13
L05,"Claude Opus 4.6 → failed abort, third-party access",Jan 2026; disclosed Sep 9,Observed event/distribution,Observed,Broken abort mechanism; unintended egress; discovered admin password,Eight abort attempts; one person’s information read; settings changed,Make abort terminate work; deny later admission and external targets.,"Agent-abort trigger, partner-range execution and remote revocation integration.",E,https://www.anthropic.com/research/alignment-assessment-cybersecurity-incidents,2026-09-13
L06,UK AISI → unsanctioned public actions,"Jul 25–28, 2026; disclosed Aug 4",Observed event/distribution,Observed attempt,Scope ambiguity; broad internet authority; cross-agent artifact reuse,19 actions / 10 of 122 runs; no resulting harm evidenced,"Permit downloads without permitting public code writes, messages or account creation.",Fine-grained GitHub/account/message adapters and shared-job response.,E,https://www.aisi.gov.uk/blog/incident-report-unsanctioned-agent-behaviour-during-cyber-testing ; https://www.anthropic.com/news/improving-alignment-security-efforts,2026-09-13
L07,GTG-2002 Claude Code extortion,2025; disclosed Aug 27,Observed event/distribution,Observed campaign,Malicious operator; fabricated testing pretext; agent-assisted intrusion,At least 17 organizations potentially affected; some demands over $500k,No enforceable operator-side cut under this threat model.,Independent provider or victim authority must impose controls.,O,https://www.anthropic.com/news/detecting-countering-misuse-aug-2025 ; https://www-cdn.anthropic.com/b2a76c6f6992465c09a6f2fce282f6c0cea8c200.pdf,2026-09-13
L08,GTG-1002 Claude Code espionage,Detected Sep 2025; disclosed Nov 13,Observed event/distribution,Observed campaign,Malicious operator; decomposed attack tasks and false authorization,About 30 targets; small unspecified number compromised,No enforceable cut where attacker sets or disables policy.,Provider/victim-side independent policy authority; vendor attribution.,O,https://www.anthropic.com/news/disrupting-AI-espionage ; https://apnews.com/article/4e7e5b1a7df946169c72c1df58f90295,2026-09-13
L09,Codex CLI writable-root bypass,"Advisory Sep 19, 2025",Controlled disclosure,Demonstration,Model-selected working directory becomes sandbox authority,CVE-2025-59532; victim count not published,Keep writable scope bound to original trusted job; test forbidden writes.,Patch Codex and connect its execution routes; local boundary analogue.,D,https://github.com/openai/codex/security/advisories/GHSA-w5fx-fh39-j5rw ; https://advisories.gitlab.com/pkg/npm/%40openai/codex/CVE-2025-59532/,2026-09-13
L10,Codex CLI project-local configuration,"Reported Aug 7, 2025; disclosed Dec 1",Controlled disclosure,Demonstration,Repository environment redirects trusted configuration; MCP startup execution,CVE-2025-61260; no published victim count,Keep launcher policy/configuration outside repository control.,Constrain startup subprocesses before reading project configuration.,E,https://research.checkpoint.com/2025/openai-codex-cli-command-injection-vulnerability/ ; https://opencve.alliance.unm.edu/cve/CVE-2025-61260,2026-09-13
L11,Claude Code hooks / MCP / API override,"Discovered 2025; combined disclosure Feb 25, 2026",Controlled disclosure,Demonstration,Repository configuration acts before trust approval; endpoint/key redirection,Three related vulnerabilities grouped; no published victim count,Protect startup authority and credential destinations before first use.,"Launcher, provider-key broker and hosted-workspace controls; patches.",E,https://research.checkpoint.com/2026/rce-and-api-token-exfiltration-through-claude-code-project-files-cve-2025-59536/ ; https://github.com/anthropics/claude-code/security/advisories/GHSA-4fgq-fpq9-mr3g,2026-09-13
L12,Codex cloud branch-name injection,"Reported Dec 16, 2025; disclosed Mar 30, 2026",Controlled disclosure,Demonstration,Untrusted branch metadata executes in setup shell; Git tokens exposed,Controlled OAuth/installation token capture; no published victim count,Confine setup; keep credentials out of arbitrary shell-readable state.,"Hosted setup adapter, credential broker and callback restrictions; patch.",E,https://www.beyondtrust.com/blog/entry/openai-codex-command-injection-vulnerability-github-token ; https://www.techradar.com/pro/security/not-just-development-tools-security-experts-discover-critical-flaw-in-openais-codex-which-could-compromise-entire-enterprise-organizations,2026-09-13
V01,Nx / s1ngularity,"Aug 26, 2025",Observed event/distribution,Observed campaign,Supply-chain attacker: CI injection → publishing token → malicious npm releases → secrets/public repos; AI CLIs were one theft route.,">1,700 users’ secrets; later >6,700 repos / ≥480 accounts. Different units; not all AI-caused.",Deny installer/child access to host secrets and unauthorized repository writes.,"Isolate CI publishing, installers and environment credentials; mediate direct code as well as model tools.",E,https://nx.dev/blog/s1ngularity-postmortem ; https://www.wiz.io/blog/s1ngularitys-aftermath,2026-09-13
V02,Cline CLI compromise,"Feb 17, 2026",Observed event/distribution,Observed distribution,Issue injection → shared-cache poisoning → release token; wrong token rotated → unauthorized OpenClaw installation hook.,About eight hours available. Vendor found no malicious code in installed OpenClaw; affected-install count unknown.,Separate issue-processing authority from release caches/secrets; verify exposed-token revocation.,CI job-origin isolation and release/token checks; current worker tests do not cover cross-pipeline access.,E,https://cline.bot/blog/post-mortem-unauthorized-cline-cli-npm ; https://adnanthekhan.com/posts/clinejection/,2026-09-13
V03,Replit production database deletion,Jul 2025; reported Jul 18,Observed event/distribution,Observed operator report,Autonomous unauthorized action: agent ignored a production change freeze while retaining database authority.,"Operator: 1,206 executive records; coverage also cites 1,196 company records. One organization; not people counts.",Deny production writes/deletes during freeze; permit staging work.,Database/API mediation or scoped credentials across shell and worker routes.,E,https://www.saastr.com/weve-now-shipped-3-vibe-coded-apps-to-production-heres-what-actually-worked-and-what-nearly-killed-us/ ; https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-coding-platform-goes-rogue-during-a-code-freeze-and-deletes-entire-company-database-replit-ceo-apologizes-after-ai-engine-says-it-made-a-catastrophic-error-in-judgment-and-destroyed-all-production-data,2026-09-13
V04,Amazon Q extension compromise,Jul 2025; disclosed Jul 23–25,Observed event/distribution,Observed distribution,Supply-chain attacker: CodeBuild weakness → repository token → modified extension → release 1.84.0.,AWS: syntax error prevented malicious execution; no customer resources changed.,Restrict build/release credentials; independently deny destructive runtime operations.,Trusted release verification and enforcement outside the compromised extension; a tool policy does not repair a malicious build.,E,https://aws.amazon.com/security/security-bulletins/AWS-2025-015/ ; https://aws.amazon.com/security/security-bulletins/aws-2025-016/,2026-09-13
V05,Unofficial postmark-mcp backdoor,Sep 2025; disclosed Sep 25,Observed event/distribution,Observed distribution,Malicious server update adds attacker BCC after the agent supplied its email arguments.,"~1,500 weekly package downloads, not victims; stolen-message total unknown.",Enforce approved recipients on the actual email API request.,Credential broker/outbound email adapter after untrusted MCP processing; pre-tool argument checks miss added BCC.,E,https://www.scworld.com/news/open-source-mcp-server-package-caught-stealing-emails ; https://postmarkapp.com/blog/postmark-labs-teaching-ai-to-speak-email-with-our-new-mcp-server ; https://www.koi.ai/blog/postmark-mcp-npm-malicious-backdoor-email-theft,2026-09-13
V06,ClawHavoc malicious skills,Late Jan 2026; reported Feb 1,Observed event/distribution,Observed campaign,Malicious skills → prerequisite instructions → user/agent downloader execution → credential-stealing malware.,"341 malicious / 2,857 examined skills; 335 attributed to campaign. Not infections or people.",Deny skill/installer access to host secrets and unapproved execution/destinations.,Pin/review skills; isolate installation and all subprocesses. Human execution outside runner remains outside scope.,E,https://snyk.io/articles/skill-md-shell-access/ ; https://openclaw.ai/publications/clawhub-security-signals.pdf ; https://www.koi.ai/blog/clawhavoc-341-malicious-clawedbot-skills-found-by-the-bot-they-were-targeting,2026-09-13
V07,LiteLLM compromise via Cursor MCP dependency,"Mar 24, 2026",Observed event/distribution,Observed intrusion,Compromised unpinned dependency executes on Python startup → secrets/process spawning; no malicious prompt needed.,"Versions 1.82.7/1.82.8; one developer saw ~11,000 processes. Global host count unknown.",Deny startup code access to host credentials and uncontrolled child execution.,Verify dependency tree; confine connector startup before secrets are exposed. Model-facing hooks are too late.,E,https://futuresearch.ai/blog/no-prompt-injection-required/ ; https://docs.litellm.ai/blog/security-update-march-2026 ; https://github.com/google/adk-python/issues/5005,2026-09-13
V08,GitHub MCP private-repository leak,"Disclosed May 26, 2025",Controlled disclosure,Demonstration,Public issue injection → broadly authorized agent reads unrelated private repo → public pull request.,Controlled disclosure; customer-victim count not established.,Deny public-issue job reads of unrelated private repositories.,Repo/action-scoped GitHub adapter plus equivalent Git CLI and worker restrictions.,E,https://invariantlabs.ai/blog/mcp-github-vulnerability,2026-09-13
V09,WhatsApp MCP tool poisoning,"Disclosed Apr 7, 2025",Controlled disclosure,Demonstration,Malicious tool description changes recipient in a separate trusted WhatsApp tool; malicious tool need not run.,Controlled tool-shadowing demonstration; no customer theft count.,Bind send recipients to trusted task authority across tools.,Actual WhatsApp send adapter; permitted-destination leakage additionally needs data-flow controls.,E,https://invariantlabs.ai/blog/whatsapp-mcp-exploited,2026-09-13
V10,Supabase MCP support-ticket injection,"Public by Jul 6, 2025",Controlled disclosure,Demonstration,Ticket injection → service-role token-table read → secrets copied into attacker-visible ticket in same database.,Researcher dummy data; no customer breach established.,Deny token-table reads; restrict writable support fields.,"SQL-aware broker, approved functions or scoped database role; no new network destination is needed.",E,https://generalanalysis.com/blog/supabase-mcp-blog ; https://supabase.com/blog/mcp,2026-09-13
